,WellID,Frac Start Date,Frac End Date,Lat,Long
0,415,1985-04-14,1985-04-24,48.38425132127409,0.262251965032263
1,205,,,48.05866648481673,0.1103318225084422
2,2019,1988-12-01,1988-12-25,48.1653025696133,-0.11762653725953953
3,1522,,,48.170747998230915,0.052413174900138415
4,894,,,48.02403415672853,-0.7974705195056515
5,1112,,,47.760024438523146,-0.9708244090382152
6,898,,,48.12197944717002,-0.5473065429439572
7,625,1989-05-24,1989-11-08,48.02717296431589,0.09210920016710133
8,1998,1989-07-25,1989-07-27,48.116488445388256,-0.3392654949076501
9,2560,1992-06-15,1992-06-25,48.43014145510063,0.40668927743374184
10,1340,,,48.03172653958232,-0.6979403799408885
11,1471,,,48.30227096687408,0.28335009676146683
12,2499,1991-07-21,1991-08-08,47.92369485511378,-1.066539518877235
13,2368,1990-11-19,1990-12-20,48.25099864918351,-0.2905181967840207
14,131,1986-05-18,1986-06-04,48.04655210572424,0.07674940656916363
15,434,,,48.413531852959785,0.04936191575295368
16,1525,,,48.4005550679352,0.38495975178059894
17,900,,,47.98228902689147,-0.6517932835688924
18,2162,1989-06-06,1989-06-29,48.027705023132285,0.09135219796276317
19,1852,1991-08-30,1991-09-22,48.01117204101527,0.11312245816195343
20,1715,1988-03-22,1988-04-02,48.24791024147618,-0.05919417072443878
21,2133,1992-08-24,1992-09-03,48.04683733240449,0.18231040183627556
22,2430,1988-06-04,1988-06-06,47.88960715663934,-0.00773210333917973
23,2193,1990-09-19,1990-10-15,48.11035964955476,-0.1896597971327907
24,228,1983-08-13,1983-08-20,47.76282290172498,-0.7134692567809253
25,1670,,,48.131993786870225,0.27988534871327886
26,1646,,,48.329343233025966,0.1320573198730557
27,346,1986-10-14,1986-10-21,47.85175943653659,-0.7446357566715704
28,2009,1988-08-14,1988-08-15,47.80842287868616,-0.6142618093788883
29,2030,1989-07-14,1989-08-03,48.02065926068662,0.10077390427090904
30,2567,1992-06-25,1992-07-01,48.43019338378787,0.40662179995152314
32,993,,,48.041378447211684,-0.762486356056499
33,1029,,,47.78882597209051,-1.1532328312691646
34,1415,,,47.77804150768722,-0.820841591495622
35,2345,1992-06-09,1992-06-30,48.04129703532738,0.19071811628766966
36,1754,1987-12-13,1987-12-28,48.434642538626996,0.16728962900691613
37,20,,,48.72410085453385,-0.4071843798450061
38,1593,,,48.41259760013149,-0.39481293754727176
39,1138,,,47.725928470396916,-0.7636890794894526
40,154,,,48.056972121766734,-0.2348992173976825
41,2429,,,47.89655897382715,-0.03228822469826298
42,507,,,48.37656519950139,0.21499077622436857
43,1334,,,48.0019044547656,-0.7167916384088784
44,741,,,48.29150273943301,-0.22909545589715208
45,1661,,,48.4562487218067,0.13639219747247466
46,1886,,,48.25243943125819,0.28856868723065077
47,67,1985-02-04,1985-02-12,48.150288737683155,-0.24204038708157327
48,1030,,,47.80395111688337,-0.47616433200005304
49,1863,,,48.39860077986808,0.23185168029573333
50,1736,1987-12-04,1987-12-06,47.76797197045362,-0.6080525097787017
51,511,,,48.425157896743755,-0.1091823078606069
52,1304,,,47.83634930204775,-0.524868109479911
53,1588,,,48.250748289154345,0.22953458337234167
54,1139,,,47.72601801308932,-0.7635356772461535
55,1054,,,47.999659893662724,-0.7162125860301813
56,1839,1988-03-27,1988-04-01,47.949646503911396,-0.7327199527428689
57,1235,,,48.13238056491408,-0.3848668400247277
58,1447,,,48.5115733039451,0.009405707765552052
59,86,,,48.046469713924424,0.12421187199198869
60,2290,1990-03-12,1990-04-08,48.07928653888703,0.09213418686775299
61,427,1985-02-20,1985-03-12,48.39047104799606,0.07920467104828788
62,1609,,,48.330020316394425,0.10912850135984797
63,2538,1991-10-27,1991-11-09,48.06968972716839,0.3000253343089838
64,1449,,,48.59245683513478,-0.1286831547279803
65,1046,,,47.84558329062066,-0.5356511354344775
66,915,,,47.9568202232448,-0.8547063896712643
67,923,,,48.14341567412897,-0.2835161765588481
68,2640,1992-07-23,1992-08-06,48.62914798281908,-0.4592802677853598
69,1366,,,47.83248733164242,-0.6578340919937062
70,425,,,48.39696293695729,-0.017013257416437
71,2402,,,48.19534174534686,-0.7935360028364187
72,378,1983-11-04,1983-11-12,48.372917467570915,0.10239506108251817
73,2387,1991-06-10,1991-09-24,47.820684748661144,-0.5596671875200911
74,7,,,48.461186877934345,-0.616166404514928
75,1679,,,48.37144258066943,-0.5825304742933923
76,1382,,,47.86659136818001,-0.5583409656763223
77,2200,,,48.31766613701593,0.093279573346436
78,2621,1992-06-27,1992-07-07,48.379297462933884,-0.05198235253547523
79,1678,,,48.37114803367189,-0.5824290680468778
80,1197,,,48.18501229872978,-0.3433904321631047
81,1388,,,48.06055852688758,-0.9041876571911018
82,555,,,47.842102302834355,-0.7304116212325482
83,1748,1987-07-17,1987-08-03,48.40508997845535,0.20251329360415582
84,2031,1989-07-14,1989-07-31,48.02135421960748,0.09987525161305655
85,2635,1993-01-11,1993-01-27,48.1080016138844,-0.64996833816069
86,396,1984-06-05,1984-06-12,48.4746702469693,-0.08797620781321314
87,1561,,,48.35013018142452,-0.07239864427963028
88,478,1986-06-25,1986-07-02,48.23463685900401,0.05331138914786493
89,1418,,,48.11814389399954,-0.686472124961341
90,1209,,,47.543733268340404,-0.946978145877651
91,522,1987-12-23,1988-01-09,48.358019262910474,0.006526390048534836
92,1451,,,48.21450561657433,0.011854739253038815
93,1259,,,47.742403885640435,-0.8034318486261753
94,1845,1989-11-27,1989-12-04,48.21203685982782,-0.6079630664924878
95,486,,,48.46228372348528,-0.1309530013582929
